ticker,description,currency,fund_type,url,sector
MELI,MercadoLibre,USD,stock,,Thematic - Ecommerce
SHOP,Shopify,USD,stock,,Thematic - Ecommerce
SE,Sea Limited,USD,stock,,Thematic - Ecommerce
ETSY,Etsy,USD,stock,,Thematic - Ecommerce
JD,JD.com ADR,USD,stock,,Thematic - Ecommerce
PDD,PDD Holdings,USD,stock,,Thematic - Ecommerce
RKLB,Rocket Lab,USD,stock,,Thematic - Space
ASTS,AST SpaceMobile,USD,stock,,Thematic - Space
IBIT,iShares Bitcoin Trust,USD,eq,,Commodity - Digital
DBMF,iM DBi Managed Futures Strategy ETF,USD,eq,,Alternatives - Managed Futures
SCHD,Schwab US Dividend Equity ETF,USD,eq,,Factor - Dividend
EMXC,iShares MSCI Emerging Markets ex-China ETF,USD,eq,,Equity - EM
SPY,SPDR S&P 500 ETF Trust,USD,eq,,Equity - US Large Cap
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,USD,bonds-corp,,Bond - Corporate
