SNDK,Sandisk,USD,stock,,Technology
SBAC,SBA Communications,USD,stock,,Real Estate
SLB,Schlumberger,USD,stock,,Energy
STX,Seagate Technology,USD,stock,,Technology
SRE,Sempra,USD,stock,,Utilities
NOW,ServiceNow,USD,stock,,Technology
SHW,Sherwin-Williams,USD,stock,,Materials
SPG,Simon Property Group,USD,stock,,Real Estate
SWKS,Skyworks Solutions,USD,stock,,Technology
SJM,J.M. Smucker Company (The),USD,stock,,Consumer Staples
SW,Smurfit Westrock,USD,stock,,Materials
SNA,Snap-on,USD,stock,,Industrials
SOLV,Solventum,USD,stock,,Healthcare
SO,Southern Company,USD,stock,,Utilities
LUV,Southwest Airlines,USD,stock,,Industrials
SWK,Stanley Black & Decker,USD,stock,,Industrials
SBUX,Starbucks,USD,stock,,Consumer Discretionary
STT,State Street Corporation,USD,stock,,Financials
STLD,Steel Dynamics,USD,stock,,Materials
STE,Steris,USD,stock,,Healthcare
SYK,Stryker Corporation,USD,stock,,Healthcare
SMCI,Supermicro,USD,stock,,Technology
SYF,Synchrony Financial,USD,stock,,Financials
SNPS,Synopsys,USD,stock,,Technology
SYY,Sysco,USD,stock,,Consumer Staples
TMUS,T-Mobile US,USD,stock,,Communication
TROW,T. Rowe Price,USD,stock,,Financials
TTWO,Take-Two Interactive,USD,stock,,Communication
TPR,"Tapestry, Inc.",USD,stock,,Consumer Discretionary
TRGP,Targa Resources,USD,stock,,Energy
TGT,Target Corporation,USD,stock,,Consumer Staples
TEL,TE Connectivity,USD,stock,,Technology
TDY,Teledyne Technologies,USD,stock,,Technology
TER,Teradyne,USD,stock,,Technology
TSLA,"Tesla, Inc.",USD,stock,,Consumer Discretionary
TXN,Texas Instruments,USD,stock,,Technology
TPL,Texas Pacific Land Corporation,USD,stock,,Energy
TXT,Textron,USD,stock,,Industrials
TMO,Thermo Fisher Scientific,USD,stock,,Healthcare
TJX,TJX Companies,USD,stock,,Consumer Discretionary
TKO,TKO Group Holdings,USD,stock,,Communication
TTD,Trade Desk (The),USD,stock,,Communication
TSCO,Tractor Supply,USD,stock,,Consumer Discretionary
TT,Trane Technologies,USD,stock,,Industrials
TDG,TransDigm Group,USD,stock,,Industrials
TRV,Travelers Companies (The),USD,stock,,Financials
TRMB,Trimble Inc.,USD,stock,,Technology
TFC,Truist Financial,USD,stock,,Financials
TYL,Tyler Technologies,USD,stock,,Technology
TSN,Tyson Foods,USD,stock,,Consumer Staples
USB,U.S. Bancorp,USD,stock,,Financials
UBER,Uber,USD,stock,,Industrials
UDR,"UDR, Inc.",USD,stock,,Real Estate
ULTA,Ulta Beauty,USD,stock,,Consumer Discretionary
UNP,Union Pacific Corporation,USD,stock,,Industrials
UAL,United Airlines Holdings,USD,stock,,Industrials
UPS,United Parcel Service,USD,stock,,Industrials
URI,United Rentals,USD,stock,,Industrials
UNH,UnitedHealth Group,USD,stock,,Healthcare
UHS,Universal Health Services,USD,stock,,Healthcare
VLO,Valero Energy,USD,stock,,Energy
VTR,Ventas,USD,stock,,Real Estate
VLTO,Veralto,USD,stock,,Industrials
VRSN,Verisign,USD,stock,,Technology
VRSK,Verisk Analytics,USD,stock,,Industrials
VZ,Verizon,USD,stock,,Communication
VRTX,Vertex Pharmaceuticals,USD,stock,,Healthcare
VTRS,Viatris,USD,stock,,Healthcare
VICI,Vici Properties,USD,stock,,Real Estate
V,Visa Inc.,USD,stock,,Financials
VST,Vistra Corp.,USD,stock,,Utilities
VMC,Vulcan Materials Company,USD,stock,,Materials
WRB,W. R. Berkley Corporation,USD,stock,,Financials
GWW,W. W. Grainger,USD,stock,,Industrials
WAB,Wabtec,USD,stock,,Industrials
WMT,Walmart,USD,stock,,Consumer Staples
DIS,Walt Disney Company (The),USD,stock,,Communication
WBD,Warner Bros. Discovery,USD,stock,,Communication
WM,Waste Management,USD,stock,,Industrials
WAT,Waters Corporation,USD,stock,,Healthcare
WEC,WEC Energy Group,USD,stock,,Utilities
WFC,Wells Fargo,USD,stock,,Financials
WELL,Welltower,USD,stock,,Real Estate
WST,West Pharmaceutical Services,USD,stock,,Healthcare
WDC,Western Digital,USD,stock,,Technology
WY,Weyerhaeuser,USD,stock,,Real Estate
WSM,"Williams-Sonoma, Inc.",USD,stock,,Consumer Discretionary
WMB,Williams Companies,USD,stock,,Energy
WTW,Willis Towers Watson,USD,stock,,Financials
WDAY,"Workday, Inc.",USD,stock,,Technology
WYNN,Wynn Resorts,USD,stock,,Consumer Discretionary
XEL,Xcel Energy,USD,stock,,Utilities
XYL,Xylem Inc.,USD,stock,,Industrials
YUM,Yum! Brands,USD,stock,,Consumer Discretionary
ZBRA,Zebra Technologies,USD,stock,,Technology
ZBH,Zimmer Biomet,USD,stock,,Healthcare
ZTS,Zoetis,USD,stock,,Healthcare
III.L,3i,GBP,stock,,Financial services
ADM.L,Admiral Group,GBP,stock,,Insurance
AAF.L,Airtel Africa,GBP,stock,,Telecommunications services
ALW.L,Alliance Witan,GBP,stock,,Investment Trusts
AAL.L,Anglo American plc,GBP,stock,,Mining
ANTO.L,Antofagasta plc,GBP,stock,,Mining
AHT.L,Ashtead Group,GBP,stock,,Support services
ABF.L,Associated British Foods,GBP,stock,,Food & tobacco
AZN.L,AstraZeneca,GBP,stock,,Pharmaceuticals & biotechnology
AUTO.L,Autotrader Group,GBP,stock,,Media
AV.L,Aviva,GBP,stock,,Life insurance
BAB.L,Babcock International,GBP,stock,,Aerospace & defence
BA.L,BAE Systems,GBP,stock,,Aerospace & defence
BARC.L,Barclays,GBP,stock,,Banks
BTRW.L,Barratt Redrow,GBP,stock,,Household goods & home construction
BEZ.L,Beazley,GBP,stock,,Insurance
BKG.L,Berkeley Group Holdings,GBP,stock,,Household goods & home construction
BP.L,BP,GBP,stock,,Oil & gas producers
BATS.L,British American Tobacco,GBP,stock,,Tobacco
BLND.L,British Land,GBP,stock,,Real estate
BT-A.L,BT Group,GBP,stock,,Telecommunications services
BNZL.L,Bunzl,GBP,stock,,Support services
BRBY.L,Burberry Group,GBP,stock,,Personal goods
CNA.L,Centrica,GBP,stock,,Multiline utilities
CCEP.L,Coca-Cola Europacific Partners,GBP,stock,,Beverages
CCH.L,Coca-Cola HBC,GBP,stock,,Beverages
CPG.L,Compass Group,GBP,stock,,Support services
CTEC.L,Convatec,GBP,stock,,Health care equipment & supplies
CRDA.L,Croda International,GBP,stock,,Chemicals
DCC.L,DCC plc,GBP,stock,,Support services
DGE.L,Diageo,GBP,stock,,Beverages
DPLM.L,Diploma,GBP,stock,,Industrial Support services
EDV.L,Endeavour Mining,GBP,stock,,Precious Metals and Mining
ENT.L,Entain,GBP,stock,,Travel & leisure
EZJ.L,EasyJet,GBP,stock,,Travel & leisure
EXPN.L,Experian,GBP,stock,,Support services
FCIT.L,F & C Investment Trust,GBP,stock,,Collective investments
FRES.L,Fresnillo plc,GBP,stock,,Mining
GAW.L,Games Workshop,GBP,stock,,Leisure Goods
GLEN.L,Glencore,GBP,stock,,Mining
GSK.L,GSK plc,GBP,stock,,Pharmaceuticals & biotechnology
HLN.L,Haleon,GBP,stock,,Pharmaceuticals & biotechnology
HLMA.L,Halma plc,GBP,stock,,Electronic equipment & parts
HIK.L,Hikma Pharmaceuticals,GBP,stock,,Pharmaceuticals & biotechnology
HSX.L,Hiscox,GBP,stock,,Non-life Insurance
HWDN.L,Howdens Joinery,GBP,stock,,Homebuilding & construction supplies
HSBA.L,HSBC,GBP,stock,,Banks
ICG.L,ICG,GBP,stock,,Financial services
IHG.L,IHG Hotels & Resorts,GBP,stock,,Travel & leisure
IMI.L,IMI,GBP,stock,,Industrial engineering
