"Booking ID",Date,Location,Description,"Sub total",Tax,Total
86700224,19/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86700224",£46.00,Free,£46.00
86048540,06/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86048540",£46.00,Free,£46.00
86404546,14/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86404546",£46.00,Free,£46.00
86254218,11/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86254218",£46.00,Free,£46.00
86253738,12/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86253738",-£46.00,Free,-£46.00
86253738,11/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86253738",£46.00,Free,£46.00
86247868,10/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86247868",£13.50,Free,£13.50
86113720,08/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86113720",£46.00,Free,£46.00
86094602,07/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86094602",£13.50,Free,£13.50
85958041,04/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #85958041",£46.00,Free,£46.00
70688685,08/Mar/2025,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
76174946,09/Feb/2025,"Barker Drive, NW1 0JF","Payment for booking #76174946",£150.00,Free,£150.00
70688685,08/Feb/2025,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
77328055,05/Feb/2025,"Barker Drive, NW1 0JF","Payment for booking #77328055",-£108.00,Free,-£108.00
77328055,05/Feb/2025,"Barker Drive, NW1 0JF","Payment for booking #77328055",£108.00,Free,£108.00
76174946,09/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #76174946",£150.00,Free,£150.00
70688685,08/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
72018039,07/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #72018039",£105.60,Free,£105.60
77328055,05/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #77328055",£108.00,Free,£108.00
78454324,30/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #78454324",£108.00,Free,£108.00
82471209,12/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #82471209",£44.00,Free,£44.00
82335547,09/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #82335547",£44.00,Free,£44.00
82276485,07/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #82276485",£39.00,Free,£39.00
76174946,09/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #76174946",£150.00,Free,£150.00
70688685,08/Dec/2024,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
82153254,03/Jan/2025,"Barker Drive, NW1 0JF","Payment for booking #82153254",£44.00,Free,£44.00
